disease,tau,method,method_label,sensitivity_at_30pct,specificity_at_30pct,sensitivity_stability,minority_coverage_at_30pct,class_separation,ccaugrc_progressor,ccaugrc_stable,global_augrc
MS,0.13,h_total,H_Total (Global),0.08823529411764706,0.9531914893617022,-1.556160039421342,0.3695652173913043,0.09256827731092437,0.2777055765595463,0.04100308041380819,0.06808066759388037
MS,0.13,margin,Margin (Global),0.7903225806451613,0.7262443438914027,0.37497255574266924,0.6739130434782609,1.0882323384584465,0.09245037807183365,0.15203915254280403,0.14245479833101532
MS,0.13,h_tau,H_tau (Global),0.5319148936170213,0.8971553610503282,-0.725665370364948,0.5108695652173914,0.5928905033731189,0.21975425330812853,0.055724711227103575,0.07336578581363004
MS,0.13,h_tau_ccr,H_tau + CCR (Proposed),0.7903225806451613,0.7307692307692307,0.26661480619369715,0.6739130434782609,1.0814940577249577,0.11194470699432893,0.12942062274724073,0.12722531293463143
MS,0.13,random_ccr,Random + CCR (Control),0.7049180327868853,0.7178329571106095,0.19505574340589588,0.6630434782608695,0.9820084544798433,0.1441398865784499,0.13428416626603482,0.13567454798331016
PD,0.39,h_total,H_Total (Global),0.5925925925925926,0.9159663865546218,-0.24782458928918455,0.5625,0.6469588854909956,0.1884223090277778,0.043244444444444446,0.09217479674796748
PD,0.39,margin,Margin (Global),0.8181818181818182,0.822429906542056,0.20245773634667746,0.6875,0.9948347107438017,0.08403862847222222,0.10744444444444444,0.09847560975609757
PD,0.39,h_tau,H_tau (Global),0.7846153846153846,0.8611111111111112,0.06832971562640332,0.6770833333333334,0.9111662531017369,0.11604817708333334,0.07768888888888889,0.09329268292682927
PD,0.39,h_tau_ccr,H_tau + CCR (Proposed),0.8181818181818182,0.8130841121495327,0.1632014618451707,0.6875,1.006269592476489,0.10221354166666666,0.09206666666666666,0.09654471544715447
PD,0.39,random_ccr,Random + CCR (Control),0.7352941176470589,0.7714285714285715,0.07557730808612452,0.7083333333333334,0.9531590413943355,0.1320529513888889,0.10973333333333334,0.11941056910569105
AD,0.54,h_total,H_Total (Global),0.8983050847457628,0.7745098039215687,0.3666601912002937,0.6941176470588235,1.1598369448616177,0.05615916955017301,0.1005738811728395,0.07563694267515925
AD,0.54,margin,Margin (Global),0.8429752066115702,0.8383838383838383,0.2731761606535401,0.711764705882353,1.0054764512595837,0.07974048442906574,0.07303722993827161,0.07651273885350318
AD,0.54,h_tau,H_tau (Global),0.8583333333333333,0.81,0.3414131386569178,0.7058823529411765,1.059670781893004,0.07121107266435986,0.08111496913580248,0.07595541401273886
AD,0.54,h_tau_ccr,H_tau + CCR (Proposed),0.8264462809917356,0.84,0.33573606389314214,0.711764705882353,0.9838646202282566,0.07721453287197232,0.07482156635802469,0.0768312101910828
AD,0.54,random_ccr,Random + CCR (Control),0.7699115044247787,0.7314814814814815,0.07129942126322455,0.6647058823529411,1.0525372465553937,0.10923875432525952,0.1291232638888889,0.11926751592356688
